# 第一批異体字整理表（一異表）
yyb/variant,<rev>,yyb/regular
秋,yyb/variant,龝
球,yyb/variant,毬
麯,yyb/variant,麴
驅,yyb/variant,駈
驅,yyb/variant,敺
券,yyb/variant,劵
榷,yyb/variant,搉
榷,yyb/variant,𣙜
却,yyb/variant,卻
却,yyb/variant,㕁
群,yyb/variant,羣
裙,yyb/variant,帬
裙,yyb/variant,裠
冉,yyb/variant,冄
髯,yyb/variant,髥
繞,yyb/variant,遶
韌,yyb/variant,靱
韌,yyb/variant,靭
韌,yyb/variant,韌[刄]
軔,yyb/variant,軔[刄]
飪,yyb/variant,餁
衽,yyb/variant,袵
妊,yyb/variant,姙
冗,yyb/variant,宂
絨,yyb/variant,羢
絨,yyb/variant,毧
熔,yyb/variant,鎔
融,yyb/variant,螎
蠕,yyb/variant,蝡
軟,yyb/variant,輭
蕊,yyb/variant,蕋
蕊,yyb/variant,橤
蕊,yyb/variant,蘂
睿,yyb/variant,叡
箬,yyb/variant,篛
颯,yyb/variant,䬃
腮,yyb/variant,顋
傘,yyb/variant,𠌂
傘,yyb/variant,繖
散,yyb/variant,㪚
桑,yyb/variant,桒
澀,yyb/variant,澁
澀,yyb/variant,濇
鱔,yyb/variant,鱓
删,yyb/variant,刪
姗,yyb/variant,姍
栅,yyb/variant,柵
珊[册],yyb/variant,珊[冊]
膳,yyb/variant,饍
膻,yyb/variant,羶
膻,yyb/variant,羴
筲,yyb/variant,䈰
蛇,yyb/variant,虵
射,yyb/variant,䠶
深,yyb/variant,㴱
愼,yyb/variant,昚
參,yyb/variant,葠
參,yyb/variant,蓡
升,yyb/variant,陞
升,yyb/variant,昇
剩,yyb/variant,賸
虱,yyb/variant,蝨
是,yyb/variant,昰
尸,yyb/variant,屍
濕,yyb/variant,溼
謚,yyb/variant,諡
實,yyb/variant,寔
時,yyb/variant,旹
視,yyb/variant,眡
視,yyb/variant,眎
柿,yyb/variant,柹
倏,yyb/variant,倐
倏,yyb/variant,儵
庶,yyb/variant,庻
竪,yyb/variant,豎
漱,yyb/variant,潄
疏,yyb/variant,疎
薯,yyb/variant,藷
飼,yyb/variant,飤
祀,yyb/variant,禩
厮,yyb/variant,廝
俟,yyb/variant,竢
似,yyb/variant,佀
嗽,yyb/variant,𠻳
搜,yyb/variant,蒐
溯,yyb/variant,泝
溯,yyb/variant,遡
宿,yyb/variant,㝛
訴,yyb/variant,愬
蘇,yyb/variant,蘓
蘇,yyb/variant,甦
歲,yyb/variant,嵗
笋,yyb/variant,筍
飧,yyb/variant,飱
瑣,yyb/variant,𤨏
鎖,yyb/variant,鎻
蓑,yyb/variant,簑
挲,yyb/variant,挱
塔,yyb/variant,墖
拓,yyb/variant,搨
它,yyb/variant,牠
嘆,yyb/variant,歎
罎,yyb/variant,罈
罎,yyb/variant,壜
袒,yyb/variant,襢
趟,yyb/variant,䟖
趟,yyb/variant,蹚
趟,yyb/variant,䠀
糖,yyb/variant,餹
掏,yyb/variant,搯
縧,yyb/variant,絛
縧,yyb/variant,縚
藤,yyb/variant,籐
剃,yyb/variant,薙
剃,yyb/variant,鬀
啼,yyb/variant,嗁
蹄,yyb/variant,蹏
